EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010674605,IGLESIA FUENTE DE AGUA VIVA ORLANDO FL INC,% RODOLFO O FONT,PO BOX 3869,CAROLINA,PR,00984-3869,0000,03,3,7000,201611,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010674736,US-JAPAN RELATIONSHIP FUND INC,% TATSUHIKO WAKAO,KAWASAKI KANAGAWA 216-0033,JAPAN,,00000-0000,0000,03,3,1200,200401,1,15,000000000,1,01,201912,1,0,02,0,12,3689,0,0,Q20,
010678163,FOREST HILLS NEIGHBORHOOD ALLIANCE INC,% DENISE WARNER,WASHINGTON DC 20008,NAMIBIA,,00000-0000,0000,03,3,1000,200206,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,A80,
010692701,WINFIELD EDUCATION FOUNDATION,% AMY JO WIERENGA,WINFIELD,ALGERIA,,00000-0000,0000,03,3,1200,200309,1,17,000000000,1,01,202006,3,2,02,0,06,46524,19867,19867,B12,
010728628,INTERSECTIONS INC,,PO BOX 1715,PAGO PAGO,AS,96799-1715,0000,03,3,1000,200211,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,O50,
010933982,OLYMPIA ART LEAGUE,% ANTHAONY J LIRETTE,OLYMPIA WA 98507,AFGHANISTAN,,00000-0000,0000,03,3,1000,201408,1,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,A20,
020533102,PATHSTONE CORPORATION,,VILLA NEVAREZ CALLE 5 STE 1122,SAN JUAN,PR,00927-0000,9113,03,9,1000,198209,1,15,994566560,1,01,,0,0,01,0,09,,,,,PARQUE PLATINO INC
020719298,INDIANA BEEKEEPING SCHOOL INC,% ROB GREEN,PITTSBORO INDIANA 46167,AFGHANISTAN,,00000-0000,0000,03,3,2000,200703,1,16,000000000,1,01,202012,0,0,02,0,12,0,0,0,B40,
030182719,PROCTOR CEMETERY ASSOC,% WIN THOMAS,5113 TURNER HOLE,CHRISTIANSTED,VI,00820-4586,0000,13,3,1000,201705,1,00,900000000,5,01,201912,0,0,02,0,12,0,0,0,Y50,
030356850,KOSA COMMUNICATIONS LTD,% PETER B WILDER,MONTREAL H3C 2S1,CANADA,,00000-0000,0000,03,3,1000,201808,1,16,000000000,1,01,201912,1,3,02,0,12,2081,25140,25140,Q21,
030357690,SHOBU AIKIDO OF VERMONT,,GAYSVILLE VT 05746,AFGHANISTAN,,00000-0000,0000,03,3,1000,200103,1,11,000000000,1,01,201912,0,0,02,0,12,0,0,0,B99,
030457389,ALLIANCE FOR SAFE CHILDREN,% CARR RIGGS & INGRAM LLC,CAMBERWELL VICTORIA AU,AUSTRALIA,,00000-0000,0000,03,3,1000,200209,1,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,Q01,
030474336,THINK TANK ROMANIA INC,% C/O DAVID SOMLYO,BUCHAREST 010667,ROMANIA,,00000-0000,0000,03,3,2000,200410,1,15,000000000,1,01,201803,0,0,02,0,03,0,0,0,Q70,
